contacts,share_contacted,responses,precision,recall,f1,profit,score_cutoff
801,0.3967310549777117,210,0.26217228464419473,0.7142857142857143,0.3835616438352236,-93.0,0.04526043907588766
821,0.40663694898464586,213,0.25943970767356883,0.7244897959183674,0.38206278026867,-120.0,0.04367070280763015
841,0.41654284299158,215,0.2556480380499406,0.7312925170068028,0.37885462555027694,-158.0,0.04251381726702673
861,0.4264487369985141,217,0.25203252032520324,0.7380952380952381,0.37575757575719626,-196.0,0.04107432816848761
881,0.43635463100544825,218,0.2474460839954597,0.7414965986394558,0.37106382978685887,-245.0,0.03920914048244293
901,0.4462605250123824,218,0.24195338512763595,0.7414965986394558,0.36485355648498463,-305.0,0.038200907106954014
921,0.4561664190193165,220,0.23887079261672095,0.7482993197278912,0.36213991769510645,-343.0,0.037067290906723165
941,0.46607231302625063,221,0.23485653560042508,0.7517006802721088,0.3578947368417425,-392.0,0.036190117126182086
961,0.4759782070331847,222,0.23100936524453694,0.7551020408163265,0.35378486055741015,-441.0,0.034734611074289753
981,0.48588410104011887,223,0.2273190621814475,0.7585034013605442,0.3498039215682726,-490.0,0.03367567680097982
1001,0.495789995047053,223,0.22277722277722278,0.7585034013605442,0.3444015444011934,-550.0,0.03270999005194655
1021,0.5056958890539871,225,0.22037218413320275,0.7653061224489796,0.34220532319356917,-588.0,0.03181456234285608
1041,0.5156017830609212,228,0.21902017291066284,0.7755102040816326,0.34157303370752173,-615.0,0.031021679850415578
1061,0.5255076770678554,230,0.21677662582469368,0.782312925170068,0.3394833948336085,-653.0,0.02972747507122509
1081,0.5354135710747895,232,0.21461609620721553,0.7891156462585034,0.3374545454542092,-691.0,0.028850008019011057
1101,0.5453194650817236,234,0.2125340599455041,0.7959183673469388,0.3354838709674092,-729.0,0.027695909696672415
1121,0.5552253590886578,237,0.21141837644959857,0.8061224489795918,0.33498233215514783,-756.0,0.026986865555365377
1141,0.5651312530955919,239,0.20946538124452235,0.8129251700680272,0.3331010452958414,-794.0,0.02590353045320218
1161,0.575037147102526,244,0.21016365202411713,0.8299319727891157,0.33539518900311394,-799.0,0.025425313513962728
1181,0.5849430411094602,246,0.20829805249788316,0.8367346938775511,0.3335593220335791,-837.0,0.02454569077151311
1201,0.5948489351163943,246,0.2048293089092423,0.8367346938775511,0.3290969899662392,-897.0,0.023644501859506704
1221,0.6047548291233283,249,0.20393120393120392,0.8469387755102041,0.32871287128681587,-924.0,0.022945812997300145
1241,0.6146607231302625,252,0.20306204673650283,0.8571428571428571,0.328338762214674,-951.0,0.022264820509692293
1261,0.6245666171371966,252,0.1998413957176844,0.8571428571428571,0.324115755626703,-1011.0,0.021735120369627485
1281,0.6344725111441307,254,0.19828259172521467,0.8639455782312925,0.3225396825393788,-1049.0,0.020971481671493198
1301,0.6443784051510649,254,0.19523443504996157,0.8639455782312925,0.3184952978053419,-1109.0,0.020256438971119034
1321,0.654284299157999,254,0.19227857683573052,0.8639455782312925,0.3145510835910334,-1169.0,0.019820839097828162
1341,0.6641901931649331,254,0.1894108873974646,0.8639455782312925,0.3107033639140781,-1229.0,0.019185272423987064
1361,0.6740960871718673,255,0.18736223365172666,0.8673469387755102,0.308157099697593,-1278.0,0.018768663640395037
1381,0.6840019811788014,256,0.18537291817523532,0.8707482993197279,0.3056716417907553,-1327.0,0.018224528481468664
1401,0.6939078751857355,258,0.1841541755888651,0.8775510204081632,0.30442477876077517,-1365.0,0.017747058721073253
1421,0.7038137691926697,260,0.18296973961998592,0.8843537414965986,0.30320699708426396,-1403.0,0.017137427205903086
1441,0.7137196631996038,260,0.18043025676613464,0.8843537414965986,0.2997118155616782,-1463.0,0.016766664938141246
1461,0.7236255572065379,262,0.17932922655715264,0.891156462585034,0.29857549857521964,-1501.0,0.016312677734445318
1481,0.733531451213472,264,0.17825793382849425,0.8979591836734694,0.2974647887321179,-1539.0,0.015906407030397172
1501,0.7434373452204062,264,0.1758827448367755,0.8979591836734694,0.2941504178270241,-1599.0,0.015359396950658083
1521,0.7533432392273403,265,0.17422748191978962,0.9013605442176871,0.2920110192834751,-1648.0,0.014885728061867132
1541,0.7632491332342743,267,0.17326411421155094,0.9081632653061225,0.29100817438665183,-1686.0,0.014229262651856645
1561,0.7731550272412085,267,0.17104420243433696,0.9081632653061225,0.28787061994582486,-1746.0,0.013869243286500525
1581,0.7830609212481426,270,0.17077798861480076,0.9183673469387755,0.2879999999997356,-1773.0,0.013368836525733537
1601,0.7929668152550767,271,0.16926920674578388,0.9217687074829932,0.28601583113430246,-1822.0,0.012810462403815143
1621,0.8028727092620109,272,0.16779765576804442,0.9251700680272109,0.28407310704934846,-1871.0,0.012288560469988214
1641,0.812778603268945,273,0.1663619744058501,0.9285714285714286,0.28217054263540114,-1920.0,0.011935339470398999
1661,0.8226844972758791,273,0.16435881998795907,0.9285714285714286,0.27928388746777516,-1980.0,0.011363945767179407
1681,0.8325903912828133,274,0.16299821534800712,0.9319727891156463,0.27746835443012635,-2029.0,0.010862894689999906
1701,0.8424962852897474,276,0.16225749559082892,0.9387755102040817,0.27669172932305697,-2067.0,0.010570382526105442
