strategy,budget_mu,contacts,responses,profit_mu,roi
RFM score,4800.0,1600,284.0,-1676.0,-0.3491666666666667
RFM score,4950.0,1650,287.0,-1793.0,-0.3622222222222222
RFM score,5100.0,1700,288.0,-1932.0,-0.3788235294117647
RFM score,5250.0,1750,292.0,-2038.0,-0.3881904761904762
RFM score,5400.0,1800,292.0,-2188.0,-0.4051851851851852
RFM score,5550.0,1850,292.0,-2338.0,-0.4212612612612613
RFM score,5700.0,1900,294.0,-2466.0,-0.4326315789473684
RFM score,5850.0,1950,294.0,-2616.0,-0.4471794871794872
RFM score,6000.0,2000,294.0,-2766.0,-0.461
RFM score,6057.0,2019,294.0,-2823.0,-0.46607231302625063
Historical value (spend),0.0,0,0.0,0.0,
Historical value (spend),150.0,50,28.0,158.0,1.0533333333333332
Historical value (spend),300.0,100,51.0,261.0,0.87
Historical value (spend),450.0,150,70.0,320.0,0.7111111111111111
Historical value (spend),600.0,200,85.0,335.0,0.5583333333333333
Historical value (spend),750.0,250,98.0,328.0,0.43733333333333335
Historical value (spend),900.0,300,110.0,310.0,0.34444444444444444
Historical value (spend),1050.0,350,121.0,281.0,0.26761904761904765
Historical value (spend),1200.0,400,135.0,285.0,0.2375
Historical value (spend),1350.0,450,143.0,223.0,0.16518518518518518
Historical value (spend),1500.0,500,151.0,161.0,0.10733333333333334
Historical value (spend),1650.0,550,154.0,44.0,0.02666666666666667
Historical value (spend),1800.0,600,156.0,-84.0,-0.04666666666666667
Historical value (spend),1950.0,650,165.0,-135.0,-0.06923076923076923
Historical value (spend),2100.0,700,171.0,-219.0,-0.10428571428571429
Historical value (spend),2250.0,750,176.0,-314.0,-0.13955555555555554
Historical value (spend),2400.0,800,181.0,-409.0,-0.17041666666666666
Historical value (spend),2550.0,850,184.0,-526.0,-0.20627450980392156
Historical value (spend),2700.0,900,191.0,-599.0,-0.22185185185185186
Historical value (spend),2850.0,950,200.0,-650.0,-0.22807017543859648
Historical value (spend),3000.0,1000,206.0,-734.0,-0.24466666666666667
Historical value (spend),3150.0,1050,211.0,-829.0,-0.26317460317460317
Historical value (spend),3300.0,1100,216.0,-924.0,-0.28
Historical value (spend),3450.0,1150,221.0,-1019.0,-0.29536231884057973
Historical value (spend),3600.0,1200,225.0,-1125.0,-0.3125
Historical value (spend),3750.0,1250,231.0,-1209.0,-0.3224
Historical value (spend),3900.0,1300,243.0,-1227.0,-0.31461538461538463
Historical value (spend),4050.0,1350,247.0,-1333.0,-0.3291358024691358
Historical value (spend),4200.0,1400,254.0,-1406.0,-0.33476190476190476
Historical value (spend),4350.0,1450,262.0,-1468.0,-0.3374712643678161
Historical value (spend),4500.0,1500,266.0,-1574.0,-0.3497777777777778
Historical value (spend),4650.0,1550,274.0,-1636.0,-0.3518279569892473
Historical value (spend),4800.0,1600,279.0,-1731.0,-0.360625
Historical value (spend),4950.0,1650,281.0,-1859.0,-0.37555555555555553
Historical value (spend),5100.0,1700,285.0,-1965.0,-0.38529411764705884
Historical value (spend),5250.0,1750,285.0,-2115.0,-0.40285714285714286
Historical value (spend),5400.0,1800,285.0,-2265.0,-0.41944444444444445
Historical value (spend),5550.0,1850,290.0,-2360.0,-0.4252252252252252
Historical value (spend),5700.0,1900,292.0,-2488.0,-0.43649122807017543
Historical value (spend),5850.0,1950,292.0,-2638.0,-0.4509401709401709
Historical value (spend),6000.0,2000,294.0,-2766.0,-0.461
Historical value (spend),6057.0,2019,294.0,-2823.0,-0.46607231302625063
Random / mass,0.0,0,0.0,0.0,
Random / mass,150.0,50,7.280832095096583,-69.91084695393758,-0.4660723130262505
Random / mass,300.0,100,14.561664190193166,-139.82169390787516,-0.4660723130262505
Random / mass,450.0,150,21.842496285289748,-209.73254086181277,-0.4660723130262506
Random / mass,600.0,200,29.123328380386333,-279.6433878157503,-0.4660723130262505
Random / mass,750.0,250,36.40416047548292,-349.5542347696879,-0.4660723130262506
Random / mass,900.0,300,43.684992570579496,-419.46508172362553,-0.4660723130262506
Random / mass,1050.0,350,50.96582466567608,-489.37592867756314,-0.46607231302625063
Random / mass,1200.0,400,58.246656760772666,-559.2867756315006,-0.4660723130262505
Random / mass,1350.0,450,65.52748885586925,-629.1976225854382,-0.4660723130262506
Random / mass,1500.0,500,72.80832095096584,-699.1084695393758,-0.4660723130262506
Random / mass,1650.0,550,80.0891530460624,-769.0193164933136,-0.46607231302625063
Random / mass,1800.0,600,87.36998514115899,-838.9301634472511,-0.4660723130262506
Random / mass,1950.0,650,94.65081723625558,-908.8410104011887,-0.4660723130262506
Random / mass,2100.0,700,101.93164933135216,-978.7518573551263,-0.46607231302625063
Random / mass,2250.0,750,109.21248142644875,-1048.6627043090639,-0.46607231302625063
Random / mass,2400.0,800,116.49331352154533,-1118.5735512630013,-0.4660723130262505
Random / mass,2550.0,850,123.77414561664192,-1188.4843982169389,-0.4660723130262505
Random / mass,2700.0,900,131.0549777117385,-1258.3952451708765,-0.4660723130262506
Random / mass,2850.0,950,138.33580980683507,-1328.3060921248143,-0.46607231302625063
Random / mass,3000.0,1000,145.61664190193167,-1398.2169390787517,-0.4660723130262506
Random / mass,3150.0,1050,152.89747399702824,-1468.1277860326893,-0.4660723130262506
Random / mass,3300.0,1100,160.1783060921248,-1538.0386329866271,-0.46607231302625063
Random / mass,3450.0,1150,167.4591381872214,-1607.9494799405645,-0.4660723130262506
Random / mass,3600.0,1200,174.73997028231798,-1677.8603268945021,-0.4660723130262506
Random / mass,3750.0,1250,182.02080237741458,-1747.7711738484395,-0.4660723130262505
Random / mass,3900.0,1300,189.30163447251115,-1817.6820208023773,-0.4660723130262506
Random / mass,4050.0,1350,196.58246656760775,-1887.5928677563147,-0.4660723130262506
Random / mass,4200.0,1400,203.86329866270432,-1957.5037147102526,-0.46607231302625063
Random / mass,4350.0,1450,211.1441307578009,-2027.41456166419,-0.4660723130262506
Random / mass,4500.0,1500,218.4249628528975,-2097.3254086181278,-0.46607231302625063
Random / mass,4650.0,1550,225.70579494799406,-2167.236255572065,-0.4660723130262506
Random / mass,4800.0,1600,232.98662704309066,-2237.1471025260025,-0.4660723130262505
Random / mass,4950.0,1650,240.26745913818723,-2307.0579494799404,-0.4660723130262506
Random / mass,5100.0,1700,247.54829123328383,-2376.9687964338777,-0.4660723130262505
Random / mass,5250.0,1750,254.8291233283804,-2446.8796433878156,-0.4660723130262506
Random / mass,5400.0,1800,262.109955423477,-2516.790490341753,-0.4660723130262506
Random / mass,5550.0,1850,269.3907875185736,-2586.701337295691,-0.4660723130262506
Random / mass,5700.0,1900,276.67161961367015,-2656.6121842496286,-0.46607231302625063
Random / mass,5850.0,1950,283.9524517087667,-2726.523031203566,-0.4660723130262506
Random / mass,6000.0,2000,291.23328380386334,-2796.4338781575034,-0.4660723130262506
Random / mass,6057.0,2019,294.0,-2823.0,-0.46607231302625063
