segment,campaign,n,acceptors,rate,ci_low,ci_high,overall_rate,index_vs_overall
Mid-value (lapsing),C1,226,8,0.035398230088495575,0.018043974387089417,0.06828274370154319,0.06587419514611194,0.5373611018697185
Mid-value (lapsing),C2,226,4,0.017699115044247787,0.006903823630900027,0.044616293242061456,0.012877662209014363,1.3744043567052417
Mid-value (lapsing),C3,226,18,0.07964601769911504,0.05097144346786577,0.12237177765994467,0.0718177315502724,1.1090021361000917
Mid-value (lapsing),C4,226,16,0.07079646017699115,0.04404435946618167,0.11189556105379321,0.07528479445269935,0.9403819282720075
Mid-value (lapsing),C5,226,5,0.022123893805309734,0.009486157109295294,0.05073561006758397,0.07231302625061913,0.305946175293975
Mid-value (lapsing),C6 (pilot),226,14,0.061946902654867256,0.037255550406544685,0.10128106950559462,0.14561664190193166,0.42541087231352714
Mid-value (recent),C1,222,9,0.04054054054054054,0.021472703245965674,0.07523876388122402,0.06587419514611194,0.6154236943710628
Mid-value (recent),C2,222,3,0.013513513513513514,0.004606265568081087,0.03897058197835507,0.012877662209014363,1.0493762993762994
Mid-value (recent),C3,222,17,0.07657657657657657,0.048357620057417686,0.11920000651077674,0.0718177315502724,1.0662628145386766
Mid-value (recent),C4,222,19,0.08558558558558559,0.05547456999970567,0.12979459642873992,0.07528479445269935,1.1368243243243243
Mid-value (recent),C5,222,8,0.036036036036036036,0.018371078356966827,0.06948461884009727,0.07231302625061913,0.49833395038874484
Mid-value (recent),C6 (pilot),222,48,0.21621621621621623,0.16713729623246,0.27494919816962776,0.14561664190193166,1.4848317705460563
