share_customers,share_revenue
0.9118375433382863,0.9970588956754237
0.9167904903417533,0.9973082803901848
0.9217434373452204,0.9975486709021185
0.9266963843486875,0.9977784319016197
0.9316493313521546,0.9979951104242811
0.9366022783556216,0.9981987064701024
0.9415552253590886,0.9983908553486889
0.9465081723625557,0.9985723747148428
0.9514611193660227,0.9987498058069844
0.9564140663694899,0.9989182426962985
0.9613670133729569,0.9990817736567976
0.966319960376424,0.9992330397952592
0.971272907379891,0.999376129385696
0.9762258543833581,0.9995134953925152
0.9811788013868251,0.999643502506112
0.9861317483902923,0.9997645154168813
0.9910846953937593,0.9998683575767983
0.9960376423972264,0.9999525760214553
